Gesture,Thumb_TIP_MCP,Thumb_TIP_Wrist,Index_TIP_MCP,Index_TIP_Wrist,Middle_TIP_MCP,Middle_TIP_Wrist,Ring_TIP_MCP,Ring_TIP_Wrist,Pinky_TIP_MCP,Pinky_TIP_Wrist
open,0.13002526766795366,0.23147435402695807,0.3006845760645128,0.6362474000151352,0.2975863923779702,0.6532985244698565,0.2416841104885662,0.17061707079117422,0.22883261067076377,0.14343025441572613
open,0.22288127991861997,0.3468531185419196,0.3084725510778228,0.6609321061107605,0.3839298074812106,0.7449844317570345,0.16273983001775338,0.21659047009317178,0.14371474610455456,0.18535677123645405
open,0.22711703270254643,0.35848847718426174,0.3185023063305178,0.6329706895361589,0.362764159713848,0.6912502027328187,0.14812936936724166,0.22230864991857252,0.1181986454234459,0.20316517794905067
open,0.11165641498896353,0.2465702886564541,0.3131640505837515,0.6605704948241846,0.3548159011363155,0.715247014853733,0.20467911127208457,0.20450352293813712,0.19383217657152957,0.16061750031761463
open,0.11556182355833504,0.29096134415841396,0.32118334752045224,0.6799222323052623,0.36329820359727805,0.7295313501124858,0.22339516480431001,0.22323606319723216,0.20329784403889792,0.1686803305308202
open,0.11929909319828673,0.29339045128547053,0.32727529322307075,0.6823134098157825,0.3703967878988873,0.7254726302388568,0.23552610424404663,0.24106292417118744,0.21244654917586903,0.16858396597357891
open,0.15469252922341603,0.4101973761435677,0.35681403185366795,0.7235435642065552,0.3906868998685452,0.7135985888350319,0.1871873638850292,0.27906615571094284,0.1460002835831245,0.24215603676253986
open,0.1823514201931407,0.4171268834163652,0.36268370755798035,0.7464307710523744,0.400721558972561,0.7287049011179627,0.09110163991238343,0.31895447136729593,0.053834515112526245,0.2666002141719816
open,0.16841328884705858,0.3780062548161881,0.37374299102326614,0.7479764570468331,0.4131204447882449,0.7401518710023258,0.0687970782321427,0.3509409752762095,0.04468856073181616,0.28479764792724743
open,0.19321396295537263,0.43611271769429033,0.3882797189407766,0.7474381090538654,0.4168956275071468,0.7416072587494008,0.04848397559919166,0.33575185566576954,0.055517275055732396,0.24697665097919383
open,0.16814830968987213,0.4271484366127465,0.33184553648689685,0.6757203078558982,0.33161498433944325,0.664659255306644,0.08222912812329955,0.34505380016636744,0.08817816205874296,0.28020430649300887
